|003849182_0_000005_1_The Mysterious Marriage  or  the Will of my father  [With plates ]_1820.jpg| Text
|001255083_0_000165_1_Letters from America  containing observations on the climate and agriculture of _1822.jpg| Diagrams
|000060890_0_000021_1_A Descriptive and Historical View of Alnwick     and of Alnwick Castle     Secon_1822.jpg| Maps
|003147395_02_000112_1_[Rome in the Nineteenth Century  containing a complete account of the ruins of t_1822.jpg| Diagrams
|001255083_0_000031_1_Letters from America  containing observations on the climate and agriculture of _1822.jpg| Diagrams
|000643546_0_000170_1_Narrative of an Expedition from Tripoli in Barbary  to the Western Frontier of E_1822.jpg| Text
|000533686_0_000330_1_[Travels in Nubia ]_1822.jpg| Text
|000533686_0_000216_1_[Travels in Nubia ]_1822.jpg| Text
|003933756_0_000311_1_An historical and typographical description of the municipium of ancient Verulam_1822.jpg| Diagrams
|002619002_0_000130_1_The history and antiquities of the parish of Islington  in the county of Middles_1823.jpg| Architecture
|002432520_0_000261_2_[Travels in the interior of Brazil  particularly in the gold and diamond distric_1823.jpg| Nature
|000535335_0_000032_1_[The Birth and Triumph of Love  a poem ]_1823.jpg| People
|000557755_01_000194_1_[ uvres comple tes de Lord Byron  traduites de l anglais par MM  A  P  et E  D  _1823.jpg| People
|000255454_0_000127_1_The History of the Town of Belfast with     a statistical survey of the parish o_1823.jpg| Architecture
|000557755_02_000034_1_[ uvres comple tes de Lord Byron  traduites de l anglais par MM  A  P  et E  D  _1823.jpg| People
|000557755_02_000002_1_[ uvres comple tes de Lord Byron  traduites de l anglais par MM  A  P  et E  D  _1823.jpg| People
|000255454_0_000148_1_The History of the Town of Belfast with     a statistical survey of the parish o_1823.jpg| Architecture
|002806378_0_000012_1_Anecdotes of the Spanish and Portuguese Revolutions  With an introduction and no_1823.jpg| People
|000557755_01_000012_1_[ uvres comple tes de Lord Byron  traduites de l anglais par MM  A  P  et E  D  _1823.jpg| People
|000557755_01_000294_1_[ uvres comple tes de Lord Byron  traduites de l anglais par MM  A  P  et E  D  _1823.jpg| People
|002512068_0_000002_1_Julian  a tragedy in five acts [and in verse]_1823.jpg| Seals
|000557755_04_000144_1_[ uvres comple tes de Lord Byron  traduites de l anglais par MM  A  P  et E  D  _1823.jpg| People
|002655602_0_000407_1_Beitra ge zu einem Mu nsterischen Urkundenbuche aus vaterla ndischen Archiven ge_1823.jpg| Seals
|001036142_0_000185_1_Journal of a Horticultural Tour through some Parts of Flanders  Holland  and the_1823.jpg| Nature
|000910918_0_000006_1_Denmark delineated  or  sketches of the present state of that country  Illustrat_1823.jpg| People
|000255454_0_000138_1_The History of the Town of Belfast with     a statistical survey of the parish o_1823.jpg| Architecture
|000557755_01_000015_1_[ uvres comple tes de Lord Byron  traduites de l anglais par MM  A  P  et E  D  _1823.jpg| People
|003309887_0_000151_1_Journal of a Voyage to the Northern Whale fishery  including researches and disc_1823.jpg| Landscape
|001021259_01_000008_1_[Travels in New England  and New York  etc ]_1823.jpg| People
|002947204_0_000403_2_Letters literary and political Poland  comprising observations on Russia and oth_1823.jpg| Text
|002453071_0_000213_1_A Book of the United States  exhibiting its geography  divisions  constitution  _1839.jpg| Animals
|000194796_0_000128_1_Historical Collections     relating to the history and antiquities of every town_1839.jpg| Landscape
|003514906_0_000427_1_The history and topography of the Isle of Axholme  being that part of Lincolnshi_1839.jpg| Architecture
|003947032_0_000457_1_A narrative of the Greek Mission  or Sixteen Years in Malta and Greece  includin_1839.jpg| Architecture
|002453071_0_000327_1_A Book of the United States  exhibiting its geography  divisions  constitution  _1839.jpg| Landscape
|000194796_0_000343_1_Historical Collections     relating to the history and antiquities of every town_1839.jpg| Landscape
|003430374_0_000655_2_The Rhine  legends  traditions  history  from Cologne to Mainz_1839.jpg| Architecture
|001697187_04_000557_1_Thom  Hobbes Malmesburiensis opera philosophica qu  Latine scripsit omnia in unu_1839.jpg| Diagrams
|001527792_0_000561_1_Aristocracy in America  from the Sketch book of a German Nobleman  [Translated f_1839.jpg| People
|002748204_02_000459_1_Hungary and Transylvania  with remarks on their condition  social  political and_1839.jpg| Architecture
|000001929_10_000887_1_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| Landscape
|000194796_0_000398_1_Historical Collections     relating to the history and antiquities of every town_1839.jpg| Architecture
|002740326_0_000100_1_[The Oxford University and City Guide     New edition  with     additions ]_1839.jpg| Architecture
|002363611_0_000347_1_[The voiage and travaile of Sir J  Maundevile  which treateth of the way to Hier_1839.jpg| People
|002371339_02_000159_1_[The Wonders of Geology  or  a familiar exposition of geological phenomena  bein_1839.jpg| Objects
|002748204_01_000519_1_Hungary and Transylvania  with remarks on their condition  social  political and_1839.jpg| Landscape
|000001929_10_000447_1_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| Architecture
|000001929_03_000058_2_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| Seals
|000001929_07_000477_1_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| People
|002748204_01_000407_1_Hungary and Transylvania  with remarks on their condition  social  political and_1839.jpg| People
|001018328_0_000147_1_Sketches of Hampshire  embracing the architectural antiquities  topography  etc _1839.jpg| Objects
|000194796_0_000108_1_Historical Collections     relating to the history and antiquities of every town_1839.jpg| Landscape
|002740326_0_000158_1_[The Oxford University and City Guide     New edition  with     additions ]_1839.jpg| Architecture
|000001929_04_000098_2_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| Landscape
|002363611_0_000057_1_[The voiage and travaile of Sir J  Maundevile  which treateth of the way to Hier_1839.jpg| Objects
|000194796_0_000428_1_Historical Collections     relating to the history and antiquities of every town_1839.jpg| Landscape
|000001929_09_000035_1_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| People
|000194796_0_000295_1_Historical Collections     relating to the history and antiquities of every town_1839.jpg| Landscape
|000001929_05_000626_1_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| Architecture
|003991234_0_000064_1_The Stranger s guide to the Roman Antiquities of the City of Treves  From the Ge_1839.jpg| Architecture
|001793707_0_000247_1_The Wonders of The World in Nature and Art  Edited by H  Ince_1839.jpg| Animals
|000001929_09_000056_1_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| Landscape
|000001929_10_000263_1_De Aardbol  Magazijn van hedendaagsche land  en volkenkunde     Met platen en ka_1839.jpg| People
|000550576_01_000549_2_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| Miniatures
|000550576_02_000016_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000884734_0_000229_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Architecture
|001571495_0_000059_1_A Week at Killarney_1843.jpg| Architecture
|003996026_02_000211_1_The modern History and Condition of Egypt  its climate  diseases  and capabiliti_1843.jpg| Maps
|000550576_01_000352_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000550576_01_000569_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000884734_0_000435_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Architecture
|000089113_0_000201_1_Forfarshire illustrated  being views of gentlemen s seats  antiquities  and scen_1843.jpg| Architecture
|000586465_0_000211_1_The Poetical Works of Thomas Campbell  Illustrated by twenty vignettes from desi_1843.jpg| Architecture
|000884734_0_000609_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Architecture
|002963514_0_000128_1_Report on the Geology of the County of Londonderry  and of parts of Tyrone and F_1843.jpg| Nature
|001855204_0_000217_1_History of the Hawaiian or Sandwich Islands      from the earliest traditionary _1843.jpg| People
|000586465_0_000159_1_The Poetical Works of Thomas Campbell  Illustrated by twenty vignettes from desi_1843.jpg| People
|003495414_01_000444_1_Incidents of Travel in Yucatan  etc_1843.jpg| Architecture
|000550576_01_000319_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|001992215_0_000064_1_Day Dreams     With twenty illustrations     by H  Warren_1843.jpg| People
|001850440_0_000270_1_L E te  a  Paris_1843.jpg| Architecture
|001335586_01_000188_1_The Pictorial History of the United States of America  from the discovery by the_1843.jpg| People
|003455071_01_000191_3_Espan a pintoresca  artistica  monumental  literaria y de costumbres_1843.jpg| Architecture
|000550576_01_000102_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000550576_02_000082_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000550576_02_000013_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| Seals
|001571495_0_000020_1_A Week at Killarney_1843.jpg| Architecture
|001335586_01_000414_1_The Pictorial History of the United States of America  from the discovery by the_1843.jpg| People
|001992215_0_000210_1_Day Dreams     With twenty illustrations     by H  Warren_1843.jpg| People
|003928037_0_000024_1_[A Paper Lantern for Puseyites  By Will o  the Wisp ]_1843.jpg| People
|000089113_0_000240_1_Forfarshire illustrated  being views of gentlemen s seats  antiquities  and scen_1843.jpg| Landscape
|001496442_0_000568_1_                                                _1843.jpg| Architecture
|000935790_0_000453_1_Travels in New Zealand  with contributions to the geography  geology  botany  an_1843.jpg| Animals
|000884734_0_000408_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Landscape
|003495414_01_000333_1_Incidents of Travel in Yucatan  etc_1843.jpg| Architecture
|000586465_0_000024_1_The Poetical Works of Thomas Campbell  Illustrated by twenty vignettes from desi_1843.jpg| Nature
|000586465_0_000157_1_The Poetical Works of Thomas Campbell  Illustrated by twenty vignettes from desi_1843.jpg| People
|000550576_01_000635_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000935790_0_000007_1_Travels in New Zealand  with contributions to the geography  geology  botany  an_1843.jpg| Nature
|000477119_0_000244_1_Cursory Observations on the Churches of Bristol  By an occasional visitor [i e  _1843.jpg| Architecture
|001850440_0_000072_1_L E te  a  Paris_1843.jpg| Architecture
|000550576_01_000117_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|001335586_01_000229_1_The Pictorial History of the United States of America  from the discovery by the_1843.jpg| People
|001571495_0_000127_1_A Week at Killarney_1843.jpg| Architecture
|002670230_0_000084_1_Rambles in Yucatan  or notes of travel through the Peninsula  including a visit _1843.jpg| Architecture
|000550576_02_000327_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|002967330_0_000312_1_Personal Observations on Sindh  the manners and customs of its inhabitants  and _1843.jpg| People
|003120122_0_000200_1_The Environs of Reading_1843.jpg| Nature
|000884734_0_000597_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Architecture
|001335586_02_000113_1_The Pictorial History of the United States of America  from the discovery by the_1843.jpg| Animals
|000550576_02_000248_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|001941289_0_000391_2_The Land of Israel  according to the Covenant with Abraham  with Isaac  and with_1843.jpg| Nature
|003927275_01_000222_1_Modern Egypt and Thebes  being a description of Egypt  including the information_1843.jpg| Objects
|001335586_01_000335_1_The Pictorial History of the United States of America  from the discovery by the_1843.jpg| People
|000884734_0_000391_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Landscape
|000550576_02_000553_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|001992215_0_000077_1_Day Dreams     With twenty illustrations     by H  Warren_1843.jpg| Landscape
|000240048_0_000277_1_The Castles and Abbeys of England     Illustrated by     engravings_1843.jpg| Architecture
|001335586_02_000048_1_The Pictorial History of the United States of America  from the discovery by the_1843.jpg| People
|000379833_0_000127_1_Notices  historical and antiquarian  of the Castle and Priory at Castleacre  in _1843.jpg| Nature
|000884734_0_000545_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Architecture
|000884734_0_000452_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Landscape
|000240048_0_000209_1_The Castles and Abbeys of England     Illustrated by     engravings_1843.jpg| People
|000876091_0_000213_1_[The Stranger s Guide through Cheltenham  containing an account of its mineral w_1843.jpg| Architecture
|000550576_02_000171_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000884734_0_000234_1_Historical Collections of the State of Pennsylvania  containing a copious select_1843.jpg| Architecture
|002901670_0_000226_1_Jamaica  its past and present state_1843.jpg| Text
|000240048_0_000045_1_The Castles and Abbeys of England     Illustrated by     engravings_1843.jpg| Landscape
|000550576_01_000101_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000240048_0_000020_1_The Castles and Abbeys of England     Illustrated by     engravings_1843.jpg| Decorations
|003495414_01_000148_1_Incidents of Travel in Yucatan  etc_1843.jpg| Objects
|000240048_0_000316_1_The Castles and Abbeys of England     Illustrated by     engravings_1843.jpg| Architecture
|000586465_0_000124_1_The Poetical Works of Thomas Campbell  Illustrated by twenty vignettes from desi_1843.jpg| People
|001571495_0_000176_1_A Week at Killarney_1843.jpg| People
|000240048_0_000139_1_The Castles and Abbeys of England     Illustrated by     engravings_1843.jpg| Landscape
|000550576_02_000333_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|000670015_0_000239_1_The Cape of Good Hope and the Eastern Province of Algoa Bay   c    c   with stat_1843.jpg| Animals
|000586465_0_000192_1_The Poetical Works of Thomas Campbell  Illustrated by twenty vignettes from desi_1843.jpg| People
|000550576_02_000418_1_The Pictorial History of France and of the French People     Enriched with     d_1843.jpg| People
|001346912_0_000108_1_The Gaberlunzie s Wallet  With numerous illustrations  etc  [By James Ballantino_1843.jpg| Text
|000495545_01_000659_1_The Countries of the World  being a popular description of the various continent_1876.jpg| People
|000786113_0_000049_1_Eine Spazierfahrt im Golfe von Korinth  [By Louis Salvator  Archduke of Austria _1876.jpg| Architecture
|002483175_09_000580_1_[Histoire de France  Deuxie me e dition ]_1876.jpg| People
|003055002_17_000251_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|003055002_09_000715_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|003045105_0_000070_1_Early Man in Europe      Illustrated_1876.jpg| Objects
|003979963_0_000024_1_Guide to the harbour  town    neighbourhood of Falmouth     illustrated_1876.jpg| Nature
|003055002_12_000055_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|001504704_0_000799_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Maps
|003896737_0_000087_1_Tropical Nature  an account of the most remarkable phenomena of life in the West_1876.jpg| Nature
|003055002_06_000755_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Nature
|000880676_0_000345_1_An Illustrated History of Missouri  Comprising its early record  and civil  poli_1876.jpg| People
|000576073_0_000235_1_Myrtle and Cypress  A tale of chequered life_1876.jpg| People
|002483175_05_000146_1_[Histoire de France  Deuxie me e dition ]_1876.jpg| People
|003409584_0_000117_1_A Hundred Wonders of the world in nature and art  Described according to the lat_1876.jpg| Nature
|003944097_0_000112_1_Rambles in Northern India  with incidents and descriptions of many scenes of the_1876.jpg| Objects
|003055002_11_000405_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|002942529_0_000048_1_Los Estados Unidos en cien an os  o Philadelphia en 1876  Guia general de la ciu_1876.jpg| Architecture
|003055002_11_000562_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|001504704_0_000765_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Landscape
|003933396_0_000030_1_The Pacific Tourist  Williams s Illustrated Trans Continental Guide of travel fr_1876.jpg| Nature
|001504704_0_000535_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Landscape
|002108304_0_000127_1_La Gatine historique et monumentale      Ouvrage accompagne  d eaux fortes et de_1876.jpg| Architecture
|000510824_02_000325_1_A Popular History of the United States from the first discovery of the western h_1876.jpg| People
|003055002_11_000159_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Landscape
|002263901_0_000411_1_The American Centenary  a history of the progress of the Republic of the United _1876.jpg| Architecture
|002897794_0_000070_1_Philadelphia and its environs  illustrated_1876.jpg| Landscape
|001799677_0_000180_1_[Fated to be Free      Second edition ]_1876.jpg| People
|000495545_02_000289_1_The Countries of the World  being a popular description of the various continent_1876.jpg| Nature
|003055002_13_000139_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|001504704_0_000719_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Landscape
|003055002_11_000439_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Landscape
|001687573_0_000199_1_The Indian Alps and how we crossed them  being a narrative of two years  residen_1876.jpg| Nature
|003933746_0_000081_1_America Illustrated  Edited by J  D  Williams_1876.jpg| Nature
|000516000_0_000279_1_Pioneer History of Milwaukee  etc   vol  3  4  Milwaukee under the Charter   [Wi_1876.jpg| People
|000878150_0_000075_1_Spain     Illustrated by Gustave Dore   Translated by J  Thomson_1876.jpg| People
|003055002_13_000031_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|001862068_0_000203_1_Ginx s Baby      Thirty sixth edition  illustrated by F  Barnard_1876.jpg| People
|003099794_0_000167_1_The Lord s Land  a narrative of travels in Sinai     and Palestine  etc_1876.jpg| Architecture
|003110131_01_000028_1_Life and Discoveries of David Livingstone     with     wood engravings  etc  The_1876.jpg| Landscape
|003055002_09_000739_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Landscape
|003944097_0_000050_1_Rambles in Northern India  with incidents and descriptions of many scenes of the_1876.jpg| Architecture
|001520064_0_000257_1_Tyrol and the Tyrolese  the people and the land in their social  sporting  and m_1876.jpg| People
|003778903_0_000496_1_[Ge ographie illustre e de la France et de ses colonies     pre ce de e d une e _1876.jpg| Maps
|000880676_0_000197_1_An Illustrated History of Missouri  Comprising its early record  and civil  poli_1876.jpg| People
|000880676_0_000279_1_An Illustrated History of Missouri  Comprising its early record  and civil  poli_1876.jpg| People
|003055002_08_000921_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|000806925_0_000008_1_A General History of Greece from the earliest period to the death of Alexander t_1876.jpg| Maps
|002073651_0_000133_1_Das heutige Russland  Bilder und Schilderungen aus allen Theilen des Europa isch_1876.jpg| Animals
|001504704_0_001183_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Objects
|000495545_01_000417_1_The Countries of the World  being a popular description of the various continent_1876.jpg| Nature
|000787967_0_000026_1_The History of Pennsylvania from the Earliest Discovery to the Present Time  etc_1876.jpg| Nature
|003055002_09_000299_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|003055002_17_000397_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Nature
|001504704_0_000808_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Landscape
|003055001_0_000761_1_Nouvelle Ge ographie universelle  La Terre et les hommes     Cartes et     gravu_1876.jpg| Maps
|003055001_0_000953_1_Nouvelle Ge ographie universelle  La Terre et les hommes     Cartes et     gravu_1876.jpg| Landscape
|003055002_08_000495_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|003778903_0_000024_1_[Ge ographie illustre e de la France et de ses colonies     pre ce de e d une e _1876.jpg| Maps
|001862068_0_000242_1_Ginx s Baby      Thirty sixth edition  illustrated by F  Barnard_1876.jpg| People
|003055002_06_000185_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| People
|003055002_16_000245_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Landscape
|000880676_0_000661_1_An Illustrated History of Missouri  Comprising its early record  and civil  poli_1876.jpg| People
|003055002_12_000421_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Landscape
|003055001_0_000743_1_Nouvelle Ge ographie universelle  La Terre et les hommes     Cartes et     gravu_1876.jpg| Maps
|003778903_0_000177_1_[Ge ographie illustre e de la France et de ses colonies     pre ce de e d une e _1876.jpg| Architecture
|000495545_03_000400_1_The Countries of the World  being a popular description of the various continent_1876.jpg| Nature
|003055002_10_000323_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|000930640_03_000386_1_Works of Charles Dickens  New illustrated library edition  [With a preface to ea_1876.jpg| People
|001974025_0_000259_1_The World at Home  etc_1876.jpg| Landscape
|003055002_16_000203_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|000878150_0_000465_1_Spain     Illustrated by Gustave Dore   Translated by J  Thomson_1876.jpg| People
|002483175_04_000106_1_[Histoire de France  Deuxie me e dition ]_1876.jpg| People
|002108304_0_000105_1_La Gatine historique et monumentale      Ouvrage accompagne  d eaux fortes et de_1876.jpg| Architecture
|000495545_01_000207_1_The Countries of the World  being a popular description of the various continent_1876.jpg| Nature
|003695989_0_000023_1_The Centennial Northwest  An illustrated history of the Northwest      to the pr_1876.jpg| People
|000117698_0_000363_1_Monuments religieux  militaires et civils des Deux Se vres     Seconde e dition _1876.jpg| Architecture
|003933396_0_000278_1_The Pacific Tourist  Williams s Illustrated Trans Continental Guide of travel fr_1876.jpg| Landscape
|003055001_0_000194_1_Nouvelle Ge ographie universelle  La Terre et les hommes     Cartes et     gravu_1876.jpg| Maps
|003221218_0_000009_1_La fregate l Incomprise  Voyage autour du monde a  la plume par Sahib  [With ill_1876.jpg| People
|003055002_16_000039_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg| Maps
|001504704_0_000529_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Landscape
|003695989_0_000127_1_The Centennial Northwest  An illustrated history of the Northwest      to the pr_1876.jpg| People
|003091868_0_000257_1_[Histoire de la Pre sidence de M  Thiers  livr  1 42 ]_1876.jpg| People
|004000334_0_000127_1_Wife No  19  or the story of a life in bondage  being a complete expose of Mormo_1876.jpg| Landscape
|001504704_0_000455_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg| Landscape
|001974025_0_000277_1_The World at Home  etc_1876.jpg| People
